product_id;clear_url;Avaible;Ads_id
96696;https://www.intimshop.ru/vibromassazher_i_rub_my_kitty_travel_size_rozovii_o96696.html;Идут показы.;[11204789254, 11204789255, 11204789256]
96640;https://www.intimshop.ru/masturbator_fleshlight_lana_rhoades_karma_telesnii_o96640.html;Идут показы.;[12079022073, 12079022074]
96629;https://www.intimshop.ru/mini_vibrator_california_exotic_novelties_hide_play_v_forme_pomadi_bezhevii_o96629.html;Идут показы.;[11510773918, 11510773919, 11510773920]
9655;https://www.intimshop.ru/blok_pitaniya_mystim_tension_lover_e_stim_tens_unit_7f_chernii_o9655.html;Идут показы.;[11947359277, 11947359278]
9653;https://www.intimshop.ru/falloimitator_s_miostimulyaciei_mystim_ballzac_balldildo_serebristii_o9653.html;Архивно.;[11504721461, 11504721462]
9652;https://www.intimshop.ru/miostimulyator_mystim_o_h_thello_serebristii_o9652.html;Идут показы.;[11504721459, 11504721460]
9651;https://www.intimshop.ru/miostimulyator_uretri_mystim_thin_finn_serebristii_o9651.html;Идут показы.;[11504721457, 11504721458]
96497;https://www.intimshop.ru/vibroyaico_pretty_love_franklin_biriuzovii_o96497.html;Идут показы.;[11204789248, 11204789249, 11204789250]
96496;https://www.intimshop.ru/vibromassazher_yaichko_prettylove_julius_o96496.html;Идут показы.;[11204789245, 11204789246, 11204789247]
96469;https://www.intimshop.ru/vibromassazher_svakom_iris_dlya_klitora_i_tochki_g_rozovii_o96469.html;Идут показы.;[11204789242, 11204789243, 11204789244]
96468;https://www.intimshop.ru/intensivnii_vibromassazher_svakom_siren_coral_razdvoennii_korallovii_o96468.html;Идут показы.;[11204789239, 11204789240, 11204789241]
96463;https://www.intimshop.ru/vibrator_dlya_tochki_g_lealso_y_1_rozovii_o96463.html;Архивно.;[11204789236, 11204789237, 11204789238]
96459;https://www.intimshop.ru/vibrator_krolik_s_funkciei_nagreva_lealso_my_blazing_karis_fioletovii_o96459.html;Архивно.;[11204789233, 11204789234, 11204789235]
96458;https://www.intimshop.ru/vibrator_krolik_s_funkciei_nagreva_lealso_my_blazing_karis_rozovii_o96458.html;Архивно.;[11267106451, 11267106452, 11267106453]
96455;https://www.intimshop.ru/vibrator_tochki_g_lealso_my_blazing_sophia_fioletovii_o96455.html;Архивно.;[11204789230, 11204789231, 11204789232]
96454;https://www.intimshop.ru/vibrator_krolik_s_funkciei_nagreva_lealso_my_blazing_dini_rozovii_o96454.html;Архивно.;[11204789227, 11204789228, 11204789229]
96453;https://www.intimshop.ru/vibrator_krolik_s_funkciei_nagreva_lealso_my_blazing_dini_fioletovii_o96453.html;Архивно.;[11204789224, 11204789225, 11204789226]
