96727;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96726;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96725;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96724;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96723;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96722;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96721;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96708;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96697;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96696;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96640;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96629;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9655;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9653;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
9652;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9651;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96497;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96496;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96469;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96468;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96463;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96459;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96458;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96455;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96454;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96453;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96349;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96290;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96281;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96279;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96278;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96277;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96274;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96272;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
96216;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96215;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96214;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96172;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96103;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96101;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96097;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96029;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
96008;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96007;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96003;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95807;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95806;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
95787;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95786;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95784;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95769;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95767;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
95762;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95760;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95758;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95754;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95753;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95752;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
95751;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95750;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
95749;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95748;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95744;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95734;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95733;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95691;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95690;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95689;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95688;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95683;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95680;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9556;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95544;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95543;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95542;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
95541;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
95540;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
