id;name;url;vendor;clean_url
81162;Зрительная труба SVBONY SV411 20–60x70 WP со штативом;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsvbony-zritelnaja-truba-sv411-20-60x70-wp-so-shtativom%2F%3Frefid%3D533642&i=5;SVBONY (СВБОНИ);https://www.4glaza.ru/products/svbony-zritelnaja-truba-sv411-20-60x70-wp-so-shtativom/
80450;Рюкзак Unistellar для телескопа eVscope eQuinox;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Funistellar-ryukzak-dlya-teleskopa-evscope-equinox%2F%3Frefid%3D533642&i=5;Unistellar (Юнистеллар);https://www.4glaza.ru/products/unistellar-ryukzak-dlya-teleskopa-evscope-equinox/
80621;Видеоокуляр ToupCam 5,2 Мпикс (SCMOS05000KPA);https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Ftoupcam-videookuljar-5-2-mpix-scmos05000kpa%2F%3Frefid%3D533642&i=5;ToupCam (ТупКам);https://www.4glaza.ru/products/toupcam-videookuljar-5-2-mpix-scmos05000kpa/
81658;Ротационный нивелир RGK SP400;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-rotacionnyj-nivelir-sp400%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-rotacionnyj-nivelir-sp400/
77768;"Окуляр проекционный GSO 30 мм, 2""";https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fgso-okuljar-proekcionnyj-30-mm-2%2F%3Frefid%3D533642&i=5;GSO (ГСО);https://www.4glaza.ru/products/gso-okuljar-proekcionnyj-30-mm-2/
81629;Лазерный уровень RGK PR-3G;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-lazernyj-uroven-pr-3g%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-lazernyj-uroven-pr-3g/
77766;"Окуляр GSO SuperView 42 мм, 2""";https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fgso-okuljar-superview-42-mm-2%2F%3Frefid%3D533642&i=5;GSO (ГСО);https://www.4glaza.ru/products/gso-okuljar-superview-42-mm-2/
81659;Ротационный нивелир RGK SP400 Green;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-rotacionnyj-nivelir-sp400-green%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-rotacionnyj-nivelir-sp400-green/
77767;"Окуляр GSO SuperView 50 мм, 2""";https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fgso-okuljar-superview-50-mm-2%2F%3Frefid%3D533642&i=5;GSO (ГСО);https://www.4glaza.ru/products/gso-okuljar-superview-50-mm-2/
81615;Лазерный уровень AMO LN 3D-360 Red;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Famo-lazernyj-uroven-ln-3d-360-red%2F%3Frefid%3D533642&i=5;AMO (АМО);https://www.4glaza.ru/products/amo-lazernyj-uroven-ln-3d-360-red/
