product_id;clear_url;Avaible;Price;OldPrice;Ads_id; ;Status
29003;https://www.4glaza.ru/products/eschenbach-118410;;;;[11957252703, 11957252704];;Идут показы.
29911;https://www.4glaza.ru/products/telescope-bresser-junior-60-700-az/;;;;[11528231599, 11528231600];;Идут показы.
30075;https://www.4glaza.ru/products/levenhuk_skyline_pro_80mak/;;;;[11528231877, 11528231878];;Идут показы.
31619;https://www.4glaza.ru/products/eschenbach_15114;;;;[11957252705, 11957252706];;Идут показы.
32465;https://www.4glaza.ru/products/celestron_xcel05/;;;;[11528231543, 11528231544];;Идут показы.
32466;https://www.4glaza.ru/products/celestron_x-cel_lx_7_mm_1_25/;;;;[11528231985, 11528231986];;Идут показы.
32467;https://www.4glaza.ru/products/celestron_x-cel_lx_9_1_25/;;;;[11528231541, 11528231542];;Идут показы.
32468;https://www.4glaza.ru/products/celestron_x_c-cel_lx_12_1_25/;;;;[11528231539, 11528231540];;Идут показы.
32475;https://www.4glaza.ru/products/celestron_astromaster_130_eq_md/;;;;[11528231203, 11528231204];;Идут показы.
32516;https://www.4glaza.ru/products/celestron_powerseeker_70_az/;;;;[11528231173, 11528231174];;Идут показы.
32517;https://www.4glaza.ru/products/celestron_travel_scope_50;;;;[11957252627, 11957252628];;Идут показы.
32518;https://www.4glaza.ru/products/celestron_travel_scope_70/;;;;[11528231181, 11528231182];;Идут показы.
33139;https://www.4glaza.ru/products/bresser-micro-duolux-20-1280x/;;;;[11443896801, 11443896802, 11443896803];;Идут показы.
33140;https://www.4glaza.ru/products/astro-planet-bresser-delux/;;;;[11528231625, 11528231626];;Идут показы.
33142;https://www.4glaza.ru/products/bresser-micro-advance-icd-10-160x/;;;;[11443896138, 11443896139, 11443896140];;Идут показы.
33294;https://www.4glaza.ru/products/veber-bps-7x50-waterproof-comp/;;;;[11561860726, 11561860727];;Идут показы.
33295;https://www.4glaza.ru/products/veber-bps-7x50-waterproof;;;;[11957252439, 11957252440];;Идут показы.
34757;https://www.4glaza.ru/products/bresser-messier-nt-203-1000-exos2/;;;;[11528232796, 11528232797];;Идут показы.
34758;https://www.4glaza.ru/products/bresser-messier-ar-102-1000-exos2/;;;;[11528232794, 11528232795];;Идут показы.
35321;https://www.4glaza.ru/products/levenhuk-micro-5st/;;;;[11443896099, 11443896100, 11443896101];;Идут показы.
35322;https://www.4glaza.ru/products/levenhuk-micro-2st/;;;;[11443896045, 11443896046, 11443896047];;Идут показы.
35323;https://www.4glaza.ru/products/levenhuk-micro-3st/;;;;[11443896063, 11443896064, 11443896065];;Идут показы.
35410;https://www.4glaza.ru/products/bin-olympus-10-30x25-zoom-pci/;;;;[11561860716, 11561860717];;Архивно.
36188;https://www.4glaza.ru/products/bino_celestron_skymaster_20x80/;;;;[11528231165, 11528231166];;Идут показы.
36262;https://www.4glaza.ru/products/telescope-celestron-astromaster-114eq/;;;;[11528231171, 11528231172];;Идут показы.
36268;https://www.4glaza.ru/products/digital_micro_celestron_edu/;;;;[11443896879, 11443896880, 11443896881];;Идут показы.
36703;https://www.4glaza.ru/products/rangefinder_storman_lrf_400/;;;;[11528232842, 11528232843];;Идут показы.
36726;https://www.4glaza.ru/products/celestron_kit125/;;;;[11528231525, 11528231526];;Идут показы.
37394;https://www.4glaza.ru/products/bino_celestron_skymaster_25x70/;;;;[11561860662, 11561860663];;Архивно.
37795;https://www.4glaza.ru/products/dark-field-condenser-mikromed-1;;;;[11957252343, 11957252344];;Идут показы.
37830;https://www.4glaza.ru/products/dark-field-condenser-mikromed-2-3/;;;;[11528231475, 11528231476];;Идут показы.
39416;https://www.4glaza.ru/products/micro-micromed-mc-1-1b/;;;;[11711519356, 11711519357, 11711519358];;Идут показы.
39417;https://www.4glaza.ru/products/micro-micromed-mc-1-2b/;;;;[11711519359, 11711519360, 11711519361];;Идут показы.
40030;https://www.4glaza.ru/products/micro-levenhuk-d870t/;;;;[11443896762, 11443896763, 11443896764];;Идут показы.
40031;https://www.4glaza.ru/products/bresser-bino-montana-10-25/;;;;[11528232602, 11528232603];;Архивно.
40048;https://www.4glaza.ru/products/meade-8-acf-lx90;;;;[12062302615, 12062302616];;Идут показы.
40277;https://www.4glaza.ru/products/meade-okular-56-sp4000/;;;;[11528231473, 11528231474];;Архивно.
40311;https://www.4glaza.ru/products/meade-diagonal-dielectric-90;;;;[12062302623, 12062302624];;Архивно.
42445;https://www.4glaza.ru/products/pentax-okular-zoom-8-24mm;;;;[12062302653, 12062302654];;Идут показы.
42448;https://www.4glaza.ru/products/pentax-okular-smc-xw-10mm;;;;[12241148547, 12241148548];;Архивно.
42450;https://www.4glaza.ru/products/pentax-okular-smc-xw-20mm;;;;[12062302651, 12062302652];;Идут показы.
42453;https://www.4glaza.ru/products/pentax-okular-smc-xw-7mm;;;;[12062302645, 12062302646];;Идут показы.
42455;https://www.4glaza.ru/products/pentax-okular-xf-8-5mm;;;;[12062302647, 12062302648];;Идут показы.
42503;https://www.4glaza.ru/products/zt-nikon-fieldscope-prostaff-5-60/;;;;[11561860704, 11561860705];;Архивно.
42505;https://www.4glaza.ru/products/zt-nikon-fieldscope-prostaff-5-82/;;;;[11528231239, 11528231240];;Архивно.
42506;https://www.4glaza.ru/products/zt-nikon-fieldscope-prostaff-5-82-a;;;;[11773642476, 11773642477];;Архивно.
42568;https://www.4glaza.ru/products/coronado-tele-h-alpha-pst/;;;;[11528232718, 11528232719];;Идут показы.
43124;https://www.4glaza.ru/products/eschenbach-glasses-max-event-162431;;;;[11957252707, 11957252708];;Идут показы.
43128;https://www.4glaza.ru/products/eschenbach-glasses-max-detail-162451;;;;[11957252709, 11957252710];;Идут показы.
45293;https://www.4glaza.ru/products/bino-kenko-10x42-dh-ms/;;;;[11528231221, 11528231222];;Идут показы.
45296;https://www.4glaza.ru/products/bino-kenko-8x32-dh-ms/;;;;[11528231223, 11528231224];;Идут показы.
45307;https://www.4glaza.ru/products/bino-kenko-op-10x42-dh-mark-ii/;;;;[11528231235, 11528231236];;Идут показы.
45308;https://www.4glaza.ru/products/bino-kenko-op-8x42-dh-mark-ii/;;;;[11528231241, 11528231242];;Идут показы.
45317;https://www.4glaza.ru/products/bino-kenko-ultra-view-ex-op-8x32-dh-ii/;;;;[11528231261, 11528231262];;Идут показы.
46964;https://www.4glaza.ru/products/bino-celestron-upclose-g2-10-30x50;;;;[11794374495, 11794374496];;Идут показы.
46968;https://www.4glaza.ru/products/telescope-celestron-astromaster-lt-60-az/;;;;[11561860668, 11561860669];;Идут показы.
46969;https://www.4glaza.ru/products/telescope-celestron-astromaster-lt-70-az/;;;;[11528231193, 11528231194];;Архивно.
46970;https://www.4glaza.ru/products/telescope-celestron-astromaster-lt-76-az/;;;;[11528231195, 11528231196];;Идут показы.
48909;https://www.4glaza.ru/products/sturman-lrf-400-wp;;;;[11957252685, 11957252686];;Идут показы.
50669;https://www.4glaza.ru/products/stereomicroscope-mbs-12/;;;;[11443896945, 11443896946, 11443896947];;Архивно.
50748;https://www.4glaza.ru/products/levenhuk-ra-telescope-200n-dobson/;;;;[11528231393, 11528231394];;Идут показы.
